Date,Price,Open,High,Low,Vol.,Change %,Type
05/01/2018,65.66,65.66,68.8,65.85,,0.60%,Iron Ore Fines 62%
04/30/2018,65.27,65.27,64.75,64.75,,-0.15%,Iron Ore Fines 62%
04/27/2018,65.37,65.37,65.0,65.0,,0.03%,Iron Ore Fines 62%
04/26/2018,65.35,65.35,65.0,65.0,,-0.06%,Iron Ore Fines 62%
04/25/2018,65.39,65.39,65.0,65.0,,-0.55%,Iron Ore Fines 62%
04/24/2018,65.75,65.75,65.2,65.2,,-0.03%,Iron Ore Fines 62%
04/23/2018,65.77,65.77,65.9,65.2,,0.35%,Iron Ore Fines 62%
04/20/2018,65.54,65.54,66.5,64.95,0.05K,-0.73%,Iron Ore Fines 62%
04/19/2018,66.02,66.02,66.15,64.95,0.05K,1.34%,Iron Ore Fines 62%
04/18/2018,65.15,65.15,65.9,64.85,,1.31%,Iron Ore Fines 62%
04/17/2018,64.31,64.31,64.5,63.6,,0.48%,Iron Ore Fines 62%
04/16/2018,64.0,64.0,64.55,63.6,,-1.61%,Iron Ore Fines 62%
04/13/2018,65.05,65.05,65.3,64.4,,1.07%,Iron Ore Fines 62%
04/12/2018,64.36,64.36,65.3,63.9,,-0.14%,Iron Ore Fines 62%
04/11/2018,64.45,64.45,65.75,64.2,,-0.85%,Iron Ore Fines 62%
04/10/2018,65.0,65.0,65.3,63.0,0.01K,1.34%,Iron Ore Fines 62%
04/09/2018,64.14,64.14,64.25,63.0,,0.94%,Iron Ore Fines 62%
04/06/2018,63.54,63.54,64.0,63.25,,1.28%,Iron Ore Fines 62%
04/05/2018,62.74,62.74,63.0,61.75,,0.08%,Iron Ore Fines 62%
04/04/2018,62.69,62.69,64.65,62.3,0.02K,-2.52%,Iron Ore Fines 62%
04/03/2018,64.31,64.31,68.1,64.15,0.14K,-2.12%,Iron Ore Fines 62%
04/02/2018,65.7,65.7,67.0,63.8,0.23K,-5.74%,Iron Ore Fines 62%
03/29/2018,69.7,69.7,69.7,69.7,,-0.07%,Iron Ore Fines 62%
03/28/2018,69.75,69.75,69.75,69.75,,-0.23%,Iron Ore Fines 62%
03/27/2018,69.91,69.91,70.2,70.0,,0.03%,Iron Ore Fines 62%
03/26/2018,69.89,69.89,70.0,69.75,,-0.13%,Iron Ore Fines 62%
