Date,Price,Open,High,Low,Vol.,Change %,Type
02/23/2022,190.65,190.0,191.0,190.0,0.00K,0.87%,Rotterdam Coal
02/22/2022,189.0,187.0,189.0,186.9,0.11K,2.08%,Rotterdam Coal
02/21/2022,185.15,185.0,186.0,185.0,0.04K,0.57%,Rotterdam Coal
02/18/2022,184.1,184.1,184.1,184.1,0.01K,0.57%,Rotterdam Coal
02/17/2022,183.05,183.5,183.5,183.5,0.06K,-0.33%,Rotterdam Coal
02/16/2022,183.65,185.0,185.0,183.0,0.02K,-1.61%,Rotterdam Coal
02/15/2022,186.65,187.0,187.0,186.0,0.03K,-1.94%,Rotterdam Coal
02/14/2022,190.35,194.0,194.0,194.0,0.04K,0.45%,Rotterdam Coal
02/11/2022,189.5,189.0,189.0,189.0,0.00K,0.72%,Rotterdam Coal
02/10/2022,188.15,189.0,189.0,189.0,0.01K,0.21%,Rotterdam Coal
02/09/2022,187.75,189.0,189.0,188.0,0.10K,0.89%,Rotterdam Coal
02/08/2022,186.1,186.0,187.0,185.5,0.03K,1.97%,Rotterdam Coal
02/07/2022,182.5,182.0,183.5,178.0,0.18K,-0.27%,Rotterdam Coal
02/04/2022,183.0,179.5,183.0,179.5,0.17K,3.13%,Rotterdam Coal
02/03/2022,177.45,180.0,180.0,177.5,0.02K,0.08%,Rotterdam Coal
02/02/2022,177.3,178.0,178.0,175.5,0.15K,1.60%,Rotterdam Coal
02/01/2022,174.5,174.0,174.0,170.0,0.27K,-2.10%,Rotterdam Coal
01/31/2022,178.25,178.0,178.0,173.0,0.17K,7.06%,Rotterdam Coal
01/28/2022,166.5,166.0,166.5,166.0,0.02K,0.33%,Rotterdam Coal
01/27/2022,165.95,165.95,165.95,165.95,0.01K,0.00%,Rotterdam Coal
01/26/2022,165.95,165.75,165.75,165.75,0.09K,0.82%,Rotterdam Coal
01/25/2022,164.6,165.5,165.5,164.5,0.06K,0.83%,Rotterdam Coal
01/24/2022,163.25,165.0,165.4,164.5,0.10K,0.74%,Rotterdam Coal
01/21/2022,162.05,160.0,165.0,160.0,0.08K,1.60%,Rotterdam Coal
01/20/2022,159.5,161.0,161.0,159.0,0.05K,-1.39%,Rotterdam Coal
01/19/2022,161.75,161.25,161.25,161.25,0.13K,-0.34%,Rotterdam Coal
01/18/2022,162.3,162.5,165.0,162.0,0.14K,4.04%,Rotterdam Coal
01/17/2022,156.0,155.0,158.0,155.0,0.08K,1.30%,Rotterdam Coal
01/14/2022,154.0,152.0,159.0,152.0,0.30K,3.43%,Rotterdam Coal
01/13/2022,148.9,143.0,148.9,143.0,0.34K,7.12%,Rotterdam Coal
01/12/2022,139.0,138.0,138.0,138.0,0.37K,2.21%,Rotterdam Coal
01/11/2022,136.0,140.05,140.05,136.0,0.04K,-1.84%,Rotterdam Coal
01/10/2022,138.55,142.95,143.0,142.95,0.06K,-1.18%,Rotterdam Coal
01/07/2022,140.2,147.0,147.0,139.0,0.16K,-2.30%,Rotterdam Coal
01/06/2022,143.5,142.5,142.5,142.5,0.06K,4.52%,Rotterdam Coal
01/05/2022,137.3,134.65,136.0,134.5,0.23K,5.53%,Rotterdam Coal
01/04/2022,130.1,128.0,130.0,126.0,0.26K,8.42%,Rotterdam Coal
01/03/2022,120.0,120.0,120.0,120.0,0.00K,-12.76%,Rotterdam Coal
12/31/2021,137.55,137.55,137.55,137.55,,-0.33%,Rotterdam Coal
12/30/2021,138.0,140.0,140.0,140.0,0.01K,-0.25%,Rotterdam Coal
